,날짜,시군구,관광기후지수
0,20170101,서귀포시,57.3
1,20170101,제주시,58.59
2,20170102,제주시,33.21
3,20170102,서귀포시,37.95
4,20170103,서귀포시,62.72
5,20170103,제주시,65.55
6,20170104,제주시,55.76
7,20170104,서귀포시,57.3
8,20170105,제주시,31.61
9,20170105,서귀포시,34.75
10,20170106,제주시,39.39
11,20170106,서귀포시,39.51
12,20170107,서귀포시,32.88
13,20170107,제주시,37.56
14,20170108,제주시,28.35
15,20170108,서귀포시,34.48
16,20170109,제주시,35.14
17,20170109,서귀포시,52.68
18,20170110,제주시,49.81
19,20170110,서귀포시,54.22
20,20170111,제주시,46.98
21,20170111,서귀포시,51.39
22,20170112,제주시,32.04
23,20170112,서귀포시,29.17
24,20170113,제주시,48.27
25,20170113,서귀포시,52.68
26,20170114,제주시,20.06
27,20170114,서귀포시,26.57
28,20170115,서귀포시,48.52
29,20170115,제주시,45.44
30,20170116,제주시,46.98
31,20170116,서귀포시,48.52
32,20170117,서귀포시,52.89
33,20170117,제주시,51.35
34,20170118,제주시,51.35
35,20170118,서귀포시,51.35
36,20170119,서귀포시,51.35
37,20170119,제주시,51.35
38,20170120,서귀포시,17.19
39,20170120,제주시,15.38
40,20170121,서귀포시,48.52
41,20170121,제주시,46.98
42,20170122,제주시,20.06
43,20170122,서귀포시,23.47
44,20170123,서귀포시,23.74
45,20170123,제주시,20.54
46,20170124,서귀포시,48.52
47,20170124,제주시,46.98
48,20170125,서귀포시,52.93
49,20170125,제주시,52.93
50,20170126,제주시,55.76
51,20170126,서귀포시,57.3
52,20170127,제주시,25.97
53,20170127,서귀포시,30.38
54,20170128,제주시,54.43
55,20170128,서귀포시,55.76
56,20170129,서귀포시,32.88
57,20170129,제주시,34.17
58,20170130,서귀포시,32.27
59,20170130,제주시,13.9
60,20170131,서귀포시,52.93
61,20170131,제주시,45.65
62,20170201,제주시,46.98
63,20170201,서귀포시,46.98
64,20170202,서귀포시,58.31
65,20170202,제주시,53.94
66,20170203,제주시,52.89
67,20170203,서귀포시,57.3
68,20170204,서귀포시,27.06
69,20170204,제주시,31.49
70,20170205,서귀포시,33.33
71,20170205,제주시,27.3
72,20170206,서귀포시,51.39
73,20170206,제주시,43.9
74,20170207,서귀포시,57.3
75,20170207,제주시,50.06
76,20170208,서귀포시,27.51
77,20170208,제주시,23.14
78,20170209,제주시,12.3
79,20170209,서귀포시,15.59
80,20170210,제주시,6.48
81,20170210,서귀포시,9.31
82,20170211,제주시,21.6
83,20170211,서귀포시,18.73
84,20170212,제주시,30.98
85,20170212,서귀포시,51.39
86,20170213,제주시,55.76
87,20170213,서귀포시,54.22
88,20170214,제주시,56.77
89,20170214,서귀포시,56.77
90,20170215,서귀포시,63.0
91,20170215,제주시,57.3
92,20170216,서귀포시,37.85
93,20170216,제주시,43.55
94,20170217,제주시,39.51
95,20170217,서귀포시,36.31
96,20170218,제주시,51.39
97,20170218,서귀포시,51.39
98,20170219,서귀포시,57.09
99,20170219,제주시,59.92
100,20170220,서귀포시,28.47
101,20170220,제주시,29.82
102,20170221,서귀포시,54.22
103,20170221,제주시,54.22
104,20170222,제주시,25.06
105,20170222,서귀포시,23.73
106,20170223,제주시,43.9
107,20170223,서귀포시,48.27
108,20170224,서귀포시,51.39
109,20170224,제주시,51.39
110,20170225,제주시,57.09
111,20170225,서귀포시,54.22
112,20170226,서귀포시,52.89
113,20170226,제주시,54.22
114,20170227,서귀포시,51.35
115,20170227,제주시,52.89
116,20170228,제주시,64.54
117,20170228,서귀포시,60.17
118,20170301,제주시,31.27
119,20170301,서귀포시,25.52
120,20170302,서귀포시,30.73
121,20170302,제주시,50.09
122,20170303,서귀포시,63.8
123,20170303,제주시,65.31
124,20170304,서귀포시,65.52
125,20170304,제주시,67.03
126,20170305,제주시,52.94
127,20170305,서귀포시,52.94
128,20170306,서귀포시,54.82
129,20170306,제주시,55.87
130,20170307,제주시,23.13
131,20170307,서귀포시,44.8
132,20170308,서귀포시,53.31
133,20170308,제주시,50.09
134,20170309,서귀포시,57.38
135,20170309,제주시,60.99
136,20170310,서귀포시,64.01
137,20170310,제주시,65.52
138,20170311,서귀포시,65.52
139,20170311,제주시,65.52
140,20170312,서귀포시,59.74
141,20170312,제주시,59.74
142,20170313,서귀포시,32.78
143,20170313,제주시,28.71
144,20170314,서귀포시,59.94
145,20170314,제주시,59.94
146,20170315,서귀포시,63.8
147,20170315,제주시,64.85
148,20170316,제주시,57.18
149,20170316,서귀포시,57.18
150,20170317,서귀포시,67.41
151,20170317,제주시,70.43
152,20170318,제주시,51.43
153,20170318,서귀포시,52.94
154,20170319,제주시,64.01
155,20170319,서귀포시,64.01
156,20170320,서귀포시,25.6
157,20170320,제주시,28.96
158,20170321,제주시,34.0
159,20170321,서귀포시,54.16
160,20170322,제주시,57.18
161,20170322,서귀포시,57.18
162,20170323,제주시,25.35
163,20170323,서귀포시,28.54
164,20170324,서귀포시,52.94
165,20170324,제주시,52.94
166,20170325,제주시,28.71
167,20170325,서귀포시,30.22
168,20170326,제주시,30.56
169,20170326,서귀포시,30.56
170,20170327,제주시,47.36
171,20170327,서귀포시,37.36
172,20170328,서귀포시,58.23
173,20170328,제주시,42.94
174,20170329,서귀포시,44.7
175,20170329,제주시,46.55
176,20170330,서귀포시,59.74
177,20170330,제주시,62.3
178,20170331,서귀포시,25.35
179,20170331,제주시,22.16
180,20170401,서귀포시,59.94
181,20170401,제주시,59.94
182,20170402,서귀포시,67.41
183,20170402,제주시,67.41
184,20170403,서귀포시,67.41
185,20170403,제주시,72.53
186,20170404,서귀포시,60.79
187,20170404,제주시,68.93
188,20170405,서귀포시,28.96
189,20170405,제주시,41.76
190,20170406,서귀포시,27.11
191,20170406,제주시,42.47
192,20170407,서귀포시,67.42
193,20170407,제주시,69.98
194,20170408,제주시,67.42
195,20170408,서귀포시,69.98
196,20170409,서귀포시,55.04
197,20170409,제주시,55.04
198,20170410,서귀포시,30.64
199,20170410,제주시,27.45
200,20170411,제주시,28.96
201,20170411,서귀포시,30.64
202,20170412,서귀포시,65.06
203,20170412,제주시,66.57
204,20170413,제주시,73.58
205,20170413,서귀포시,71.02
206,20170414,제주시,80.42
207,20170414,서귀포시,67.62
208,20170415,제주시,57.33
209,20170415,서귀포시,43.02
210,20170416,서귀포시,55.99
211,20170416,제주시,62.62
212,20170417,서귀포시,30.72
213,20170417,제주시,43.52
214,20170418,서귀포시,61.84
215,20170418,제주시,74.64
216,20170419,서귀포시,69.13
217,20170419,제주시,70.64
218,20170420,제주시,62.13
219,20170420,서귀포시,55.5
220,20170421,제주시,42.77
221,20170421,서귀포시,57.01
222,20170422,서귀포시,69.13
223,20170422,제주시,72.15
224,20170423,제주시,75.55
225,20170423,서귀포시,71.48
226,20170424,서귀포시,69.13
227,20170424,제주시,83.44
228,20170425,서귀포시,72.54
229,20170425,제주시,79.17
230,20170426,서귀포시,34.54
231,20170426,제주시,32.15
232,20170427,제주시,60.79
233,20170427,서귀포시,61.84
234,20170428,제주시,81.26
235,20170428,서귀포시,76.14
236,20170429,서귀포시,86.38
237,20170429,제주시,91.5
238,20170430,제주시,92.55
239,20170430,서귀포시,87.89
240,20170501,서귀포시,82.98
241,20170501,제주시,88.1
242,20170502,서귀포시,73.59
243,20170502,제주시,78.71
244,20170503,제주시,87.05
245,20170503,서귀포시,80.42
246,20170504,제주시,61.99
247,20170504,서귀포시,44.32
248,20170505,서귀포시,52.8
249,20170505,제주시,79.59
250,20170506,서귀포시,80.42
251,20170506,제주시,70.64
252,20170507,서귀포시,80.42
253,20170507,제주시,82.98
254,20170508,제주시,54.77
255,20170508,서귀포시,46.63
256,20170509,서귀포시,30.72
257,20170509,제주시,41.76
258,20170510,제주시,54.48
259,20170510,서귀포시,51.92
260,20170511,서귀포시,83.83
261,20170511,제주시,81.86
262,20170512,서귀포시,46.54
263,20170512,제주시,47.59
264,20170513,서귀포시,84.49
265,20170513,제주시,89.61
266,20170514,서귀포시,85.33
267,20170514,제주시,82.77
268,20170515,서귀포시,71.03
269,20170515,제주시,71.03
270,20170516,서귀포시,72.08
271,20170516,제주시,72.54
272,20170517,서귀포시,85.33
273,20170517,제주시,84.28
274,20170518,제주시,93.47
275,20170518,서귀포시,86.84
276,20170519,서귀포시,89.4
277,20170519,제주시,94.52
278,20170520,제주시,85.34
279,20170520,서귀포시,80.22
280,20170521,서귀포시,80.22
281,20170521,제주시,85.34
282,20170522,제주시,93.68
283,20170522,서귀포시,88.56
284,20170523,서귀포시,58.38
285,20170523,제주시,62.45
286,20170524,제주시,80.05
287,20170524,서귀포시,56.7
288,20170525,서귀포시,89.61
289,20170525,제주시,89.61
290,20170526,제주시,78.7
291,20170526,서귀포시,81.26
292,20170527,서귀포시,86.84
293,20170527,제주시,88.35
294,20170528,서귀포시,91.96
295,20170528,제주시,98.59
296,20170529,서귀포시,95.57
297,20170529,제주시,95.57
298,20170530,서귀포시,93.68
299,20170530,제주시,95.19
300,20170531,제주시,82.61
301,20170531,서귀포시,77.03
302,20170601,서귀포시,87.49
303,20170601,제주시,89.16
304,20170602,제주시,91.48
305,20170602,서귀포시,92.35
306,20170603,서귀포시,90.87
307,20170603,제주시,90.0
308,20170604,제주시,91.67
309,20170604,서귀포시,90.0
310,20170605,서귀포시,84.95
311,20170605,제주시,87.49
312,20170606,제주시,49.16
313,20170606,서귀포시,50.83
314,20170607,제주시,57.95
315,20170607,서귀포시,55.41
316,20170608,제주시,94.89
317,20170608,서귀포시,90.68
318,20170609,서귀포시,84.95
319,20170609,제주시,87.49
320,20170610,서귀포시,61.29
321,20170610,제주시,61.29
322,20170611,서귀포시,71.36
323,20170611,제주시,71.36
324,20170612,제주시,87.49
325,20170612,서귀포시,84.95
326,20170613,서귀포시,82.41
327,20170613,제주시,87.49
328,20170614,제주시,92.54
329,20170614,서귀포시,88.33
330,20170615,서귀포시,93.41
331,20170615,제주시,95.08
332,20170616,서귀포시,95.08
333,20170616,제주시,95.08
334,20170617,서귀포시,93.41
335,20170617,제주시,93.41
336,20170618,서귀포시,96.56
337,20170618,제주시,96.56
338,20170619,서귀포시,95.08
339,20170619,제주시,95.08
340,20170620,서귀포시,54.39
341,20170620,제주시,57.73
342,20170621,서귀포시,89.16
343,20170621,제주시,89.16
344,20170622,서귀포시,90.83
345,20170622,제주시,89.16
346,20170623,서귀포시,90.83
347,20170623,제주시,89.16
348,20170624,서귀포시,61.18
349,20170624,제주시,61.29
350,20170625,서귀포시,82.65
351,20170625,제주시,82.65
352,20170626,제주시,61.29
353,20170626,서귀포시,61.18
354,20170627,제주시,80.13
355,20170627,서귀포시,84.32
356,20170628,제주시,64.85
357,20170628,서귀포시,66.52
358,20170629,제주시,54.17
359,20170629,서귀포시,52.5
360,20170630,제주시,56.99
361,20170630,서귀포시,59.51
362,20170701,제주시,66.44
363,20170701,서귀포시,87.49
364,20170702,제주시,62.21
365,20170702,서귀포시,85.82
366,20170703,제주시,39.18
367,20170703,서귀포시,64.35
368,20170704,제주시,48.14
369,20170704,서귀포시,48.5
370,20170705,제주시,30.92
371,20170705,서귀포시,81.6
372,20170706,제주시,48.32
373,20170706,서귀포시,59.94
374,20170707,제주시,51.24
375,20170707,서귀포시,87.49
376,20170708,제주시,46.18
377,20170708,서귀포시,84.97
378,20170709,서귀포시,52.8
379,20170709,제주시,42.21
380,20170710,서귀포시,80.78
381,20170710,제주시,45.38
382,20170711,서귀포시,55.84
383,20170711,제주시,39.01
384,20170712,서귀포시,81.63
385,20170712,제주시,74.88
386,20170713,서귀포시,68.11
387,20170713,제주시,71.48
388,20170714,서귀포시,65.57
389,20170714,제주시,61.36
390,20170715,서귀포시,76.54
391,20170715,제주시,46.18
392,20170716,서귀포시,67.29
393,20170716,제주시,47.05
394,20170717,서귀포시,66.42
395,20170717,제주시,34.39
396,20170718,서귀포시,54.53
397,20170718,제주시,47.03
398,20170719,서귀포시,51.26
399,20170719,제주시,46.18
400,20170720,서귀포시,48.72
401,20170720,제주시,43.64
402,20170721,서귀포시,41.14
403,20170721,제주시,41.1
404,20170722,서귀포시,56.32
405,20170722,제주시,33.52
406,20170723,제주시,33.52
407,20170723,서귀포시,46.18
408,20170724,제주시,41.1
409,20170724,서귀포시,46.18
410,20170725,제주시,38.56
411,20170725,서귀포시,43.64
412,20170726,서귀포시,58.24
413,20170726,제주시,30.89
414,20170727,서귀포시,64.75
415,20170727,제주시,54.65
416,20170728,제주시,51.26
417,20170728,서귀포시,55.47
418,20170729,제주시,46.18
419,20170729,서귀포시,60.51
420,20170730,제주시,52.1
421,20170730,서귀포시,41.73
422,20170731,제주시,8.65
423,20170731,서귀포시,17.12
424,20170801,제주시,7.69
425,20170801,서귀포시,22.87
426,20170802,제주시,44.51
427,20170802,서귀포시,50.46
428,20170803,서귀포시,66.48
429,20170803,제주시,58.01
430,20170804,제주시,47.89
431,20170804,서귀포시,50.43
432,20170805,제주시,36.89
433,20170805,서귀포시,36.93
434,20170806,제주시,35.22
435,20170806,서귀포시,44.51
436,20170807,서귀포시,47.05
437,20170807,제주시,36.89
438,20170808,제주시,18.01
439,20170808,서귀포시,27.22
440,20170809,서귀포시,28.37
441,20170809,제주시,13.17
442,20170810,서귀포시,71.48
443,20170810,제주시,56.3
444,20170811,서귀포시,79.94
445,20170811,제주시,57.18
446,20170812,서귀포시,72.37
447,20170812,제주시,57.17
448,20170813,서귀포시,50.09
449,20170813,제주시,38.47
450,20170814,서귀포시,35.69
451,20170814,제주시,12.91
452,20170815,제주시,38.0
453,20170815,서귀포시,37.64
454,20170816,서귀포시,67.31
455,20170816,제주시,34.01
456,20170817,서귀포시,39.05
457,20170817,제주시,32.56
458,20170818,제주시,77.4
459,20170818,서귀포시,84.15
460,20170819,서귀포시,55.2
461,20170819,제주시,61.36
462,20170820,제주시,23.07
463,20170820,서귀포시,44.09
464,20170821,서귀포시,41.55
465,20170821,제주시,13.73
466,20170822,서귀포시,29.76
467,20170822,제주시,13.99
468,20170823,서귀포시,51.24
469,20170823,제주시,33.52
470,20170824,제주시,37.77
471,20170824,서귀포시,19.92
472,20170825,제주시,6.98
473,20170825,서귀포시,31.43
474,20170826,서귀포시,84.12
475,20170826,제주시,71.48
476,20170827,제주시,88.37
477,20170827,서귀포시,92.56
478,20170828,서귀포시,87.52
479,20170828,제주시,77.4
480,20170829,제주시,51.82
481,20170829,서귀포시,55.2
482,20170830,서귀포시,94.23
483,20170830,제주시,93.41
484,20170831,서귀포시,86.64
485,20170831,제주시,82.45
486,20170901,서귀포시,84.51
487,20170901,제주시,79.77
488,20170902,제주시,84.51
489,20170902,서귀포시,84.51
490,20170903,제주시,86.2
491,20170903,서귀포시,84.51
492,20170904,서귀포시,61.22
493,20170904,제주시,58.17
494,20170905,제주시,59.42
495,20170905,서귀포시,49.39
496,20170906,서귀포시,45.79
497,20170906,제주시,23.29
498,20170907,서귀포시,50.99
499,20170907,제주시,49.3
500,20170908,제주시,92.96
501,20170908,서귀포시,92.96
502,20170909,제주시,90.59
503,20170909,서귀포시,94.65
504,20170910,서귀포시,61.11
505,20170910,제주시,61.09
506,20170911,서귀포시,45.24
507,20170911,제주시,31.04
508,20170912,서귀포시,91.27
509,20170912,제주시,91.27
510,20170913,제주시,90.59
511,20170913,서귀포시,92.96
512,20170914,서귀포시,49.41
513,20170914,제주시,54.7
514,20170915,서귀포시,37.47
515,20170915,제주시,42.87
516,20170916,서귀포시,40.85
517,20170916,제주시,40.85
518,20170917,제주시,59.53
519,20170917,서귀포시,81.13
520,20170918,제주시,92.96
521,20170918,서귀포시,91.27
522,20170919,제주시,81.46
523,20170919,서귀포시,84.51
524,20170920,제주시,78.1
525,20170920,서귀포시,79.79
526,20170921,서귀포시,81.48
527,20170921,제주시,79.79
528,20170922,제주시,81.48
529,20170922,서귀포시,79.79
530,20170923,서귀포시,83.17
531,20170923,제주시,81.48
532,20170924,제주시,86.2
533,20170924,서귀포시,86.2
534,20170925,서귀포시,76.41
535,20170925,제주시,79.79
536,20170926,제주시,56.5
537,20170926,서귀포시,49.41
538,20170927,제주시,57.73
539,20170927,서귀포시,58.41
540,20170928,제주시,82.82
541,20170928,서귀포시,86.2
542,20170929,제주시,90.61
543,20170929,서귀포시,85.91
544,20170930,서귀포시,88.92
545,20170930,제주시,92.96
546,20171001,서귀포시,47.61
547,20171001,제주시,47.61
548,20171002,서귀포시,45.92
549,20171002,제주시,47.61
550,20171003,서귀포시,84.51
551,20171003,제주시,84.51
552,20171004,서귀포시,74.06
553,20171004,제주시,56.5
554,20171005,서귀포시,42.89
555,20171005,제주시,49.3
556,20171006,서귀포시,49.3
